year,month,decade,date,date2,eile,temp,kind
2008,Jan,1,2008-Jan-01,1-Jan,a1,,mean
2008,Jan,2,2008-Jan-02,2-Jan,a2,,mean
2008,Jan,3,2008-Jan-03,3-Jan,a3,,mean
2008,Feb,1,2008-Feb-01,1-Feb,a4,,mean
2008,Feb,2,2008-Feb-02,2-Feb,a5,,mean
2008,Feb,3,2008-Feb-03,3-Feb,a6,,mean
2008,Mar,1,2008-Mar-01,1-Mar,a7,,mean
2008,Mar,2,2008-Mar-02,2-Mar,a8,,mean
2008,Mar,3,2008-Mar-03,3-Mar,a9,,mean
2008,Apr,1,2008-Apr-01,1-Apr,a10,,mean
2008,Apr,2,2008-Apr-02,2-Apr,a11,,mean
2008,Apr,3,2008-Apr-03,3-Apr,a12,,mean
2008,May,1,2008-May-01,1-May,a13,,mean
2008,May,2,2008-May-02,2-May,a14,,mean
2008,May,3,2008-May-03,3-May,a15,,mean
2008,Jun,1,2008-Jun-01,1-Jun,a16,,mean
2008,Jun,2,2008-Jun-02,2-Jun,a17,,mean
2008,Jun,3,2008-Jun-03,3-Jun,a18,,mean
2008,Jul,1,2008-Jul-01,1-Jul,a19,,mean
2008,Jul,2,2008-Jul-02,2-Jul,a20,,mean
2008,Jul,3,2008-Jul-03,3-Jul,a21,,mean
2008,Aug,1,2008-Aug-01,1-Aug,a22,,mean
2008,Aug,2,2008-Aug-02,2-Aug,a23,,mean
2008,Aug,3,2008-Aug-03,3-Aug,a24,,mean
2008,Sep,1,2008-Sep-01,1-Sep,a25,,mean
2008,Sep,2,2008-Sep-02,2-Sep,a26,,mean
2008,Sep,3,2008-Sep-03,3-Sep,a27,,mean
2008,Oct,1,2008-Oct-01,1-Oct,a28,,mean
2008,Oct,2,2008-Oct-02,2-Oct,a29,,mean
2008,Oct,3,2008-Oct-03,3-Oct,a30,,mean
2008,Nov,1,2008-Nov-01,1-Nov,a31,3.3,mean
2008,Nov,2,2008-Nov-02,2-Nov,a32,4.83,mean
2008,Nov,3,2008-Nov-03,3-Nov,a33,1.31,mean
2008,Dec,1,2008-Dec-01,1-Dec,a34,2.53,mean
2008,Dec,2,2008-Dec-02,2-Dec,a35,-0.21,mean
2008,Dec,3,2008-Dec-03,3-Dec,a36,-1.190909091,mean
2009,Jan,1,2009-Jan-01,1-Jan,a37,-6.7,mean
2009,Jan,2,2009-Jan-02,2-Jan,a38,-2.19,mean
2009,Jan,3,2009-Jan-03,3-Jan,a39,0.163636364,mean
2009,Feb,1,2009-Feb-01,1-Feb,a40,-4.47,mean
2009,Feb,2,2009-Feb-02,2-Feb,a41,-3.3,mean
2009,Feb,3,2009-Feb-03,3-Feb,a42,-2.5625,mean
2009,Mar,1,2009-Mar-01,1-Mar,a43,4,mean
2009,Mar,2,2009-Mar-02,2-Mar,a44,6.3,mean
2009,Mar,3,2009-Mar-03,3-Mar,a45,9.8,mean
2009,Apr,1,2009-Apr-01,1-Apr,a46,8.08,mean
2009,Apr,2,2009-Apr-02,2-Apr,a47,7.15,mean
2009,Apr,3,2009-Apr-03,3-Apr,a48,11.26,mean
2009,May,1,2009-May-01,1-May,a49,11.55,mean
2009,May,2,2009-May-02,2-May,a50,11.38,mean
2009,May,3,2009-May-03,3-May,a51,14.85,mean
2009,Jun,1,2009-Jun-01,1-Jun,a52,12.59,mean
2009,Jun,2,2009-Jun-02,2-Jun,a53,13.31,mean
2009,Jun,3,2009-Jun-03,3-Jun,a54,17.87,mean
2009,Jul,1,2009-Jul-01,1-Jul,a55,17.59,mean
2009,Jul,2,2009-Jul-02,2-Jul,a56,18.98,mean
2009,Jul,3,2009-Jul-03,3-Jul,a57,17.84,mean
2009,Aug,1,2009-Aug-01,1-Aug,a58,18.33,mean
2009,Aug,2,2009-Aug-02,2-Aug,a59,16.39,mean
2009,Aug,3,2009-Aug-03,3-Aug,a60,15.74,mean
2009,Sep,1,2009-Sep-01,1-Sep,a61,16.06,mean
2009,Sep,2,2009-Sep-02,2-Sep,a62,13.45,mean
2009,Sep,3,2009-Sep-03,3-Sep,a63,12.33,mean
2009,Oct,1,2009-Oct-01,1-Oct,a64,7.34,mean
2009,Oct,2,2009-Oct-02,2-Oct,a65,2.78,mean
2009,Oct,3,2009-Oct-03,3-Oct,a66,5.49,mean
2009,Nov,1,2009-Nov-01,1-Nov,a67,1.04,mean
2009,Nov,2,2009-Nov-02,2-Nov,a68,4.4,mean
2009,Nov,3,2009-Nov-03,3-Nov,a69,6.33,mean
2009,Dec,1,2009-Dec-01,1-Dec,a70,3.04,mean
2009,Dec,2,2009-Dec-02,2-Dec,a71,-8.33,mean
2009,Dec,3,2009-Dec-03,3-Dec,a72,-2.290909091,mean
2010,Jan,1,2010-Jan-01,1-Jan,a73,-8.75,mean
2010,Jan,2,2010-Jan-02,2-Jan,a74,-9.65,mean
2010,Jan,3,2010-Jan-03,3-Jan,a75,-13.58181818,mean
2010,Feb,1,2010-Feb-01,1-Feb,a76,-7.21,mean
2010,Feb,2,2010-Feb-02,2-Feb,a77,-4.57,mean
2010,Feb,3,2010-Feb-03,3-Feb,a78,-0.4,mean
2010,Mar,1,2010-Mar-01,1-Mar,a79,-4.04,mean
2010,Mar,2,2010-Mar-02,2-Mar,a80,-2.08,mean
2010,Mar,3,2010-Mar-03,3-Mar,a81,5.627272727,mean
2010,Apr,1,2010-Apr-01,1-Apr,a82,5.78,mean
2010,Apr,2,2010-Apr-02,2-Apr,a83,8.42,mean
2010,Apr,3,2010-Apr-03,3-Apr,a84,7.71,mean
2010,May,1,2010-May-01,1-May,a85,10.68,mean
2010,May,2,2010-May-02,2-May,a86,16.53,mean
2010,May,3,2010-May-03,3-May,a87,13.81818182,mean
2010,Jun,1,2010-Jun-01,1-Jun,a88,17.12,mean
2010,Jun,2,2010-Jun-02,2-Jun,a89,15.17,mean
2010,Jun,3,2010-Jun-03,3-Jun,a90,16.43,mean
2010,Jul,1,2010-Jul-01,1-Jul,a91,19.79,mean
2010,Jul,2,2010-Jul-02,2-Jul,a92,23.4,mean
2010,Jul,3,2010-Jul-03,3-Jul,a93,21.99090909,mean
2010,Aug,1,2010-Aug-01,1-Aug,a94,21.39,mean
2010,Aug,2,2010-Aug-02,2-Aug,a95,22.04,mean
2010,Aug,3,2010-Aug-03,3-Aug,a96,16.18181818,mean
2010,Sep,1,2010-Sep-01,1-Sep,a97,11.93,mean
2010,Sep,2,2010-Sep-02,2-Sep,a98,12.54,mean
2010,Sep,3,2010-Sep-03,3-Sep,a99,11.24,mean
2010,Oct,1,2010-Oct-01,1-Oct,a100,5.87,mean
2010,Oct,2,2010-Oct-02,2-Oct,a101,4.05,mean
2010,Oct,3,2010-Oct-03,3-Oct,a102,5.118181818,mean
2010,Nov,1,2010-Nov-01,1-Nov,a103,5.64,mean
2010,Nov,2,2010-Nov-02,2-Nov,a104,6.66,mean
2010,Nov,3,2010-Nov-03,3-Nov,a105,-2.6,mean
2010,Dec,1,2010-Dec-01,1-Dec,a106,-6.59,mean
2010,Dec,2,2010-Dec-02,2-Dec,a107,-9.8,mean
2010,Dec,3,2010-Dec-03,3-Dec,a108,-6.2,mean
2011,Jan,1,2011-Jan-01,1-Jan,a109,-2.64,mean
2011,Jan,2,2011-Jan-02,2-Jan,a110,-1.21,mean
2011,Jan,3,2011-Jan-03,3-Jan,a111,-5.390909091,mean
2011,Feb,1,2011-Feb-01,1-Feb,a112,0.44,mean
2011,Feb,2,2011-Feb-02,2-Feb,a113,-11.53,mean
2011,Feb,3,2011-Feb-03,3-Feb,a114,-13.4875,mean
2011,Mar,1,2011-Mar-01,1-Mar,a115,-2.98,mean
2011,Mar,2,2011-Mar-02,2-Mar,a116,1.5,mean
2011,Mar,3,2011-Mar-03,3-Mar,a117,1.481818182,mean
2011,Apr,1,2011-Apr-01,1-Apr,a118,6.19,mean
2011,Apr,2,2011-Apr-02,2-Apr,a119,6.45,mean
2011,Apr,3,2011-Apr-03,3-Apr,a120,13.82,mean
2011,May,1,2011-May-01,1-May,a121,9.29,mean
2011,May,2,2011-May-02,2-May,a122,13.9,mean
2011,May,3,2011-May-03,3-May,a123,15.56363636,mean
2011,Jun,1,2011-Jun-01,1-Jun,a124,21.27,mean
2011,Jun,2,2011-Jun-02,2-Jun,a125,16.31,mean
2011,Jun,3,2011-Jun-03,3-Jun,a126,16.81,mean
2011,Jul,1,2011-Jul-01,1-Jul,a127,19.22,mean
2011,Jul,2,2011-Jul-02,2-Jul,a128,19.54,mean
2011,Jul,3,2011-Jul-03,3-Jul,a129,20.4,mean
2011,Aug,1,2011-Aug-01,1-Aug,a130,17.96,mean
2011,Aug,2,2011-Aug-02,2-Aug,a131,16.81,mean
2011,Aug,3,2011-Aug-03,3-Aug,a132,17.35454545,mean
2011,Sep,1,2011-Sep-01,1-Sep,a133,13.97,mean
2011,Sep,2,2011-Sep-02,2-Sep,a134,13.73,mean
2011,Sep,3,2011-Sep-03,3-Sep,a135,13.3,mean
2011,Oct,1,2011-Oct-01,1-Oct,a136,11.27,mean
2011,Oct,2,2011-Oct-02,2-Oct,a137,6.01,mean
2011,Oct,3,2011-Oct-03,3-Oct,a138,5.590909091,mean
2011,Nov,1,2011-Nov-01,1-Nov,a139,4.36,mean
2011,Nov,2,2011-Nov-02,2-Nov,a140,2.8,mean
2011,Nov,3,2011-Nov-03,3-Nov,a141,4.44,mean
2011,Dec,1,2011-Dec-01,1-Dec,a142,2.39,mean
2011,Dec,2,2011-Dec-02,2-Dec,a143,2,mean
2011,Dec,3,2011-Dec-03,3-Dec,a144,1.236363636,mean
2012,Jan,1,2012-Jan-01,1-Jan,a145,0.98,mean
2012,Jan,2,2012-Jan-02,2-Jan,a146,-1.07,mean
