"year","use_year","cut","dmy"
"2009","1","cut1",2171.786
"2009","1","cut2",3397.308
"2009","1","cut3",1707.622
"2009","1","cut4",NA
"2009","2","cut1",1298.462
"2009","2","cut2",1679.853
"2009","2","cut3",593.053
"2009","2","cut4",NA
"2010","1","cut1",3678.074
"2010","1","cut2",2197.822
"2010","1","cut3",487.237
"2010","1","cut4",1137.056
"2010","2","cut1",851.801
"2010","2","cut2",1432.332
"2010","2","cut3",1767.266
"2010","2","cut4",NA
"2011","1","cut1",2460.527
"2011","1","cut2",3479.861
"2011","1","cut3",2491.835
"2011","1","cut4",NA
"2011","2","cut1",1087.42
"2011","2","cut2",1367.301
"2011","2","cut3",2114.889
"2011","2","cut4",NA
"2012","1","cut1",3531.247
"2012","1","cut2",3086.471
"2012","1","cut3",1959.238
"2012","1","cut4",NA
"2012","2","cut1",1560.528
"2012","2","cut2",1091.319
"2012","2","cut3",802.539
"2012","2","cut4",NA
"2013","1","cut1",1628.816
"2013","1","cut2",2505.561
"2013","1","cut3",1451.649
"2013","1","cut4",NA
"2013","2","cut1",49.079
"2013","2","cut2",949.672
"2013","2","cut3",524.605
"2013","2","cut4",NA
"2014","1","cut1",2052.928
"2014","1","cut2",4285.189
"2014","1","cut3",2336.605
"2014","1","cut4",NA
"2014","2","cut1",684.298
"2014","2","cut2",1928.799
"2014","2","cut3",1082.921
"2014","2","cut4",NA
"2015","1","cut1",NA
"2015","1","cut2",NA
"2015","1","cut3",NA
"2015","1","cut4",NA
"2015","2","cut1",2979.751
"2015","2","cut2",2014.548
"2015","2","cut3",471.954
"2015","2","cut4",NA
"2016","1","cut1",5718.739
"2016","1","cut2",2882.327
"2016","1","cut3",1729.302
"2016","1","cut4",NA
"2016","2","cut1",NA
"2016","2","cut2",NA
"2016","2","cut3",NA
"2016","2","cut4",NA
"2017","1","cut1",4108.517
"2017","1","cut2",3887.117
"2017","1","cut3",477.873
"2017","1","cut4",777.628
"2017","2","cut1",1314.63
"2017","2","cut2",1349.088
"2017","2","cut3",696.118
"2017","2","cut4",364.345
"2018","1","cut1",4513.166
"2018","1","cut2",3248.828
"2018","1","cut3",524.983
"2018","1","cut4",NA
"2018","2","cut1",691.002
"2018","2","cut2",1217.464
"2018","2","cut3",245.399
"2018","2","cut4",NA
"2019","1","cut1",3711.685
"2019","1","cut2",2737.455
"2019","1","cut3",1128.727
"2019","1","cut4",559.03
"2019","2","cut1",944.205
"2019","2","cut2",1215.01
"2019","2","cut3",912.158
"2019","2","cut4",357.916
"2020","1","cut1",8499.771
"2020","1","cut2",3230.769
"2020","1","cut3",1610.256
"2020","1","cut4",NA
"2020","2","cut1",3125.29
"2020","2","cut2",1509.818
"2020","2","cut3",215.758
"2020","2","cut4",NA
"2021","1","cut1",6559.495
"2021","1","cut2",2473.153
"2021","1","cut3",1972.006
"2021","1","cut4",NA
"2021","2","cut1",1447.398
"2021","2","cut2",870.222
"2021","2","cut3",720.581
"2021","2","cut4",NA
"2022","1","cut1",10615.584
"2022","1","cut2",3451.47
"2022","1","cut3",586.308
"2022","1","cut4",127.33
"2022","2","cut1",2052.661
"2022","2","cut2",2927.027
"2022","2","cut3",261.441
"2022","2","cut4",NA
